,service_number,direction,operator,category,origin_stop_code,destination_stop_code,AM_peak_interval,AM_offpeak_interval,PM_peak_interval,PM_offpeak_interval,service_description
371,56,2,SBST,TRUNK,2099.0,53009.0,10-16,10-17,11-15,15-16,
372,57,1,SBST,TRUNK,53009.0,10009.0,08-12,10-18,13-16,13-17,
373,57,2,SBST,TRUNK,10009.0,53009.0,09-15,08-17,09-15,14-18,
374,58,1,SBST,TRUNK,53009.0,77009.0,07-10,07-17,11-13,17-18,
375,58,2,SBST,TRUNK,77009.0,53009.0,08-10,08-19,07-14,15-17,
376,58A,1,SBST,TRUNK,62131.0,75351.0,-,-,-,-,
377,58B,1,SBST,TRUNK,77009.0,70281.0,-,-,-,-,
378,59,1,SBST,TRUNK,53009.0,99009.0,09-10,08-17,13-17,15-17,
379,59,2,SBST,TRUNK,99009.0,53009.0,10-13,08-16,08-19,14-19,
380,5N,1,SBST,NIGHT SERVICE,2099.0,27159.0,-,-,-,40-40,
381,60,1,SBST,TRUNK,82009.0,82009.0,06-10,05-10,05-12,06-16,Bedok Nth Dr
382,60A,1,SBST,TRUNK,82009.0,84511.0,-,-,10-14,11-52,
383,63,1,SBST,TRUNK,82009.0,82009.0,07-09,09-16,08-14,09-14,Jln Rumah Tinggi
384,63M,1,SBST,TRUNK,82009.0,82009.0,08-14,11-18,14-16,10-14,Circuit Rd
385,64,1,SBST,TRUNK,80289.0,80289.0,10-12,12-16,14-17,13-16,Mei Ling St
386,65,1,SBST,TRUNK,75009.0,14009.0,09-10,08-16,10-11,10-15,
387,65,2,SBST,TRUNK,14009.0,75009.0,08-10,08-12,10-13,07-15,
388,655,1,SBST,CITY_LINK,20129.0,3391.0,15-15,-,-,-,
389,655,2,SBST,CITY_LINK,3539.0,20121.0,-,-,15-15,-,
390,660,1,SBST,EXPRESS,66481.0,3218.0,06-07,-,-,-,
391,660,2,SBST,EXPRESS,3241.0,66489.0,-,-,15-15,-,
392,69,1,SBST,TRUNK,75009.0,75009.0,06-08,05-12,06-09,09-13,Bedok Nth Dr
393,6N,1,SBST,NIGHT SERVICE,2099.0,65201.0,-,-,-,30-30,
394,7,1,SBST,TRUNK,84009.0,17009.0,09-11,06-12,09-14,09-12,
395,7,2,SBST,TRUNK,17009.0,84009.0,09-11,07-14,07-12,08-13,
396,70,1,SBST,TRUNK,55509.0,3239.0,06-07,07-12,06-07,-,
397,70,2,SBST,TRUNK,3239.0,55509.0,08-12,07-13,07-09,09-09,
398,70A,1,SBST,TRUNK,55509.0,2171.0,-,-,-,15-15,Temasek Ave
399,70B,1,SBST,TRUNK,55101.0,66359.0,13-32,58-58,-,-,
400,70M,1,SBST,TRUNK,55509.0,55509.0,14-15,14-15,14-14,14-15,Temasek Ave
401,71,1,SBST,TRUNK,55509.0,55509.0,12-12,15-15,12-15,12-15,Bishan St 11
402,72,1,SBST,TRUNK,55509.0,75009.0,03-10,02-12,04-06,08-14,
403,72,2,SBST,TRUNK,75009.0,55509.0,05-08,02-12,02-07,04-13,
404,72A,1,SBST,TRUNK,55509.0,64549.0,11-48,-,-,-,
405,72B,1,SBST,TRUNK,55509.0,54481.0,02-03,02-04,-,-,
406,73,1,SBST,TRUNK,54009.0,54009.0,10-14,10-12,10-13,11-13,Lor 6 Toa Payoh
407,73A,1,SBST,TRUNK,54009.0,52009.0,-,-,-,10-10,Lor 6 Toa Payoh
408,74,1,SBST,TRUNK,64009.0,11379.0,05-13,04-14,05-10,09-13,
409,74,2,SBST,TRUNK,11379.0,64009.0,07-13,04-14,07-09,10-12,
410,74e,1,SBST,EXPRESS,64009.0,11379.0,15-15,-,-,-,
411,74e,2,SBST,EXPRESS,11379.0,64009.0,-,-,15-15,-,
412,76,1,SBST,TRUNK,55509.0,82009.0,10-11,11-14,10-14,14-15,
413,76,2,SBST,TRUNK,82009.0,55509.0,09-11,10-14,10-11,10-15,
414,7A,1,SBST,TRUNK,84009.0,9022.0,20-22,17-35,19-28,25-35,
415,7B,1,SBST,TRUNK,17009.0,8057.0,16-23,14-30,20-23,28-32,
416,8,1,SBST,TRUNK,75009.0,52009.0,04-07,04-13,06-08,07-14,
417,8,2,SBST,TRUNK,52009.0,75009.0,05-07,05-14,06-07,06-16,
418,80,1,SBST,TRUNK,67009.0,14009.0,05-16,08-18,13-17,13-17,
419,80,2,SBST,TRUNK,14009.0,67009.0,08-14,12-20,10-17,13-17,
420,800,1,SBST,FEEDER,59009.0,59009.0,05-07,05-08,05-06,05-09,Sembawang Rd
421,803,1,SBST,FEEDER,59009.0,59009.0,05-07,06-08,04-08,04-08,Yishun Ave 6
422,804,1,SBST,FEEDER,59009.0,59009.0,05-05,05-06,04-06,05-10,Yishun Ave 11
423,805,1,SBST,FEEDER,59009.0,59009.0,06-06,07-09,06-08,06-10,Yishun Ave 1
424,806,1,SBST,FEEDER,59009.0,59009.0,03-05,04-05,03-05,04-11,Yishun Ave 6
425,807,1,SBST,FEEDER,59009.0,59009.0,04-05,03-07,03-05,04-13,Yishun St 71
426,807A,1,SBST,FEEDER,59009.0,59569.0,05-31,05-05,-,-,
427,80A,1,SBST,TRUNK,67009.0,81089.0,12-28,16-27,-,-,
428,81,1,SBST,TRUNK,75009.0,75009.0,10-12,07-12,07-14,13-18,S'goon Ctrl
429,811,1,SBST,FEEDER,59009.0,59009.0,04-06,04-07,04-06,04-07,Yishun Ave 5
430,811A,1,SBST,FEEDER,59009.0,59159.0,-,-,04-16,08-25,Sembawang Rd
431,812,1,SBST,FEEDER,59009.0,59009.0,05-06,04-07,06-07,06-12,Yishun Ave 4
432,850E,1,SBST,EXPRESS,59581.0,3218.0,05-08,-,-,-,
433,850E,2,SBST,EXPRESS,3222.0,59579.0,-,-,15-15,-,
434,851,1,SBST,TRUNK,59009.0,10009.0,08-09,08-10,10-12,10-12,
435,851,2,SBST,TRUNK,10009.0,59009.0,09-10,08-12,08-09,10-11,
436,851e,1,SBST,EXPRESS,59009.0,5019.0,20-30,20-30,20-30,20-30,
437,851e,2,SBST,EXPRESS,5012.0,59009.0,20-20,20-30,20-20,30-30,
438,852,1,SBST,TRUNK,59009.0,43009.0,11-13,12-14,12-13,12-14,
439,852,2,SBST,TRUNK,43009.0,59009.0,12-13,12-14,12-13,12-13,
440,86,1,SBST,TRUNK,67009.0,54009.0,08-12,08-13,08-11,10-15,
441,86,2,SBST,TRUNK,54009.0,67009.0,11-14,08-13,08-12,10-17,
442,860,1,SBST,TRUNK,59009.0,59009.0,10-10,12-12,09-12,09-12,Ang Mo Kio Ave 8
443,87,1,SBST,TRUNK,67009.0,84009.0,04-07,03-14,04-09,04-17,
444,87,2,SBST,TRUNK,84009.0,67009.0,04-09,03-14,04-15,15-17,
445,88,1,SBST,TRUNK,77009.0,52009.0,06-09,06-13,07-10,08-13,
446,88,2,SBST,TRUNK,52009.0,77009.0,08-10,05-14,06-09,09-14,
447,88A,1,SBST,TRUNK,65069.0,54269.0,15-15,-,-,-,
448,88B,1,SBST,TRUNK,54261.0,66471.0,11-29,-,-,-,
449,89,1,SBST,TRUNK,64009.0,64009.0,07-12,07-15,09-16,14-16,Airport Cargo Rd
450,89A,1,SBST,TRUNK,77289.0,95039.0,26-34,-,-,-,Airport Cargo Rd
451,89e,1,SBST,EXPRESS,64009.0,95049.0,11-12,-,-,-,
452,89e,2,SBST,EXPRESS,95051.0,64009.0,-,-,12-12,-,
453,9,1,SBST,TRUNK,84009.0,84009.0,05-09,06-12,07-15,12-23,Airport Cargo Rd
454,90,1,SBST,TRUNK,52009.0,52009.0,17-19,10-26,9-16,19-32,Airport Rd
455,90A,1,SBST,TRUNK,52009.0,71189.0,13-46,17-17,-,-,Airport Rd
456,91,1,SBST,TRUNK,11379.0,11389.0,8-15,08-19,10-11,10-12,Ayer Rajah Cres
457,92,1,SBST,TRUNK,11009.0,11009.0,10-14,5-23,6-12,9-10,Science Pk Dr
458,92A,1,SBST,TRUNK,11009.0,11351.0,-,-,05-42,20-20,Science Pk Dr
459,92B,1,SBST,TRUNK,11009.0,18281.0,04-31,06-57,-,15-15,
460,92M,1,SBST,TRUNK,11009.0,11009.0,11-13,12-13,12-13,-,Nth Buona Vista Rd
461,93,1,SBST,TRUNK,14009.0,82009.0,13-15,10-18,11-14,14-19,
462,93,2,SBST,TRUNK,82009.0,14009.0,11-13,13-19,14-15,13-16,
463,94,1,SBST,TRUNK,82009.0,82009.0,9-24,9-26,14-17,14-14,Airport Rd
464,94A,1,SBST,TRUNK,82009.0,73019.0,11-12,-,-,-,Airport Rd
465,95,1,SBST,TRUNK,16009.0,16009.0,09-10,07-12,07-18,11-15,Holland Rd
466,95B,1,SBST,TRUNK,16009.0,11361.0,-,-,27-37,-,
467,99,1,SBST,TRUNK,17009.0,24009.0,06-07,05-12,05-09,08-12,
468,99,2,SBST,TRUNK,24009.0,17009.0,06-08,05-11,07-08,07-12,
469,9A,1,SBST,TRUNK,84009.0,98011.0,-,-,-,34-34,
470,CT18,1,SBST,FLAT FARE $2.00,84211.0,10499.0,-,28-38,-,-,
471,CT18,2,SBST,FLAT FARE $2.00,10499.0,84219.0,-,27-32,-,-,
472,CT8,1,SBST,FLAT FARE $2.00,55159.0,10499.0,-,11-36,-,-,
473,CT8,2,SBST,FLAT FARE $2.00,10499.0,55151.0,-,20-35,-,-,
474,110,1,SMRT,TRUNK,67759.0,67759.0,09-10,08-12,11-13,10-13,PTB2 Basement
475,167,1,SMRT,TRUNK,58009.0,10009.0,10,09-15,15-16,13-15,
476,167,2,SMRT,TRUNK,10009.0,58009.0,12-14,08-15,08-16,12-16,
477,167e,1,SMRT,EXPRESS,58009.0,3218.0,20-30,30,30,30,
478,167e,2,SMRT,EXPRESS,3223.0,58009.0,30,30,20-30,20-30,
479,169,1,SMRT,TRUNK,46009.0,54009.0,02-08,05-09,06-07,10,
480,169,2,SMRT,TRUNK,54009.0,46009.0,06-08,05-09,05-07,06-10,
481,169A,1,SMRT,TRUNK,46009.0,59073.0,17,-,-,-,
482,169B,1,SMRT,TRUNK,46009.0,46711.0,33,-,-,-,
483,171,1,SMRT,TRUNK,59009.0,2089.0,10-13,10-14,10-15,11-15,
484,171,2,SMRT,TRUNK,2099.0,59009.0,10-11,10-13,10-11,11-13,
485,172,1,SMRT,TRUNK,44009.0,22009.0,06-07,05-14,07-09,10-12,
486,172,2,SMRT,TRUNK,22009.0,44009.0,06-07,05-14,07-09,09-14,
487,176,1,SMRT,TRUNK,45009.0,10009.0,06-09,06-11,10-11,09-15,
488,176,2,SMRT,TRUNK,10009.0,45009.0,08-09,07-12,07-08,08-13,
489,178,1,SMRT,TRUNK,46009.0,22009.0,06-14,07-15,14-16,14-17,
490,178,2,SMRT,TRUNK,22009.0,46009.0,14-15,12-15,14-15,15-17,
491,178A,1,SMRT,TRUNK,46009.0,45139.0,14-42,-,-,-,
492,180,1,SMRT,TRUNK,22009.0,22009.0,04-09,08-13,05-11,10-12,Bt Panjang Rd
493,180A,1,SMRT,TRUNK,22009.0,44259.0,-,-,24-52,10,
